Key,Country,Language,Language_Category,Encounter_Likelihood,Google_Offline,Google_Talk,Continent,Approx. U.S. Citizen Travel,4G_Penetration,5G_Planned,FIPS,COUNTRY2,Flag_URL,Pop_2021
188,Ethiopia,Afar,National,2,FALSE,FALSE,Africa,10620,50,Yes,ET,Ethiopia,Ethiopia.png,"117,876,227"
189,Ethiopia,Amharic,National,2,FALSE,FALSE,Africa,10620,50,Yes,ET,Ethiopia,Ethiopia.png,"117,876,227"
190,Ethiopia,Benshangul,National,2,TRUE,TRUE,Africa,10620,50,Yes,ET,Ethiopia,Ethiopia.png,"117,876,227"
191,Ethiopia,Gumuz,National,2,TRUE,FALSE,Africa,10620,50,Yes,ET,Ethiopia,Ethiopia.png,"117,876,227"
192,Ethiopia,Harari,National,2,TRUE,FALSE,Africa,10620,50,Yes,ET,Ethiopia,Ethiopia.png,"117,876,227"
193,Ethiopia,Kunama,National,2,TRUE,TRUE,Africa,10620,50,Yes,ET,Ethiopia,Ethiopia.png,"117,876,227"
194,Ethiopia,Sidamo,National,2,FALSE,FALSE,Africa,10620,50,Yes,ET,Ethiopia,Ethiopia.png,"117,876,227"
198,Fiji,English,Official,1,TRUE,TRUE,Oceania,431427,50,No,FJ,Fiji,Fiji.png,"902,906"
199,Fiji,Fijian,Official,1,TRUE,FALSE,Oceania,431427,50,No,FJ,Fiji,Fiji.png,"902,906"
200,Fiji,Fiji Hindi,Official,1,TRUE,FALSE,Oceania,431427,50,No,FJ,Fiji,Fiji.png,"902,906"
201,Finland,Finnish,Official,1,TRUE,TRUE,Europe,380987,89.6,Yes,FI,Finland,Finland.png,"5,548,360"
202,Finland,Swedish,Official,1,TRUE,TRUE,Europe,380987,89.6,Yes,FI,Finland,Finland.png,"5,548,360"
203,Finland,Sami,Regional,4,TRUE,TRUE,Europe,380987,89.6,Yes,FI,Finland,Finland.png,"5,548,360"
204,France,French,Official,1,TRUE,TRUE,Europe,9524684,79.7,Yes,FR,France,France.png,"65,426,179"
205,France,Corsican,Regional,4,FALSE,FALSE,Europe,9524684,79.7,Yes,FR,France,France.png,"65,426,179"
206,Gabon,French,Official,1,TRUE,TRUE,Africa,9862,50,No,GB,Gabon,Gabon.png,"2,278,825"
